         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       22.04      1.6628      0.7805      0.1058      0.2253       0.002       0.077       0.032       1.818       0.009       0.144       8.076        0.06      16142.    0.1218
       23.09      1.7420      0.7804      0.0938      0.2094       0.002       0.071       0.029       1.689       0.008       0.128       7.708        0.06      16401.    0.1095
       24.14      1.8212      0.7730      0.0813      0.1915       0.002       0.065       0.025       1.545       0.007       0.111       7.303        0.06      16667.    0.0966
       25.19      1.9003      0.7555      0.0684      0.1720       0.002       0.059       0.021       1.387       0.007       0.093       6.840        0.06      16941.    0.0829
       26.24      1.9795      0.7229      0.0551      0.1509       0.002       0.051       0.017       1.218       0.006       0.075       6.284        0.07      17220.    0.0684
       27.29      2.0587      0.6669      0.0416      0.1286       0.001       0.044       0.013       1.037       0.005       0.057       5.573        0.07      17506.    0.0527
       28.34      2.1379      0.5704      0.0280      0.1050       0.001       0.036       0.009       0.847       0.004       0.038       4.591        0.07      17797.    0.0356
       29.39      2.2171      0.3951      0.0143      0.0805       0.001       0.027       0.004       0.649       0.003       0.020       3.066        0.07      18094.    0.0170
       30.44      2.2963      0.0296      0.0007      0.0552       0.001       0.019       0.000       0.445       0.002       0.001       0.222        0.07      18396.    0.0003



         PROP RPM =       3000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1485      0.1775       0.006       0.136       0.102       4.833       0.015       0.455       9.597        0.08      19648.    0.2572
        1.59      0.0797      0.0668      0.1478      0.1764       0.006       0.135       0.102       4.805       0.015       0.453       9.607        0.08      19697.    0.2569
        3.17      0.1594      0.1335      0.1474      0.1760       0.006       0.135       0.102       4.792       0.015       0.452       9.607        0.08      19760.    0.2566
        4.76      0.2391      0.1999      0.1474      0.1763       0.006       0.135       0.101       4.802       0.015       0.451       9.587        0.08      19838.    0.2560
        6.34      0.3189      0.2652      0.1478      0.1776       0.006       0.136       0.102       4.837       0.015       0.453       9.541        0.08      19933.    0.2551
        7.93      0.3986      0.3287      0.1485      0.1800       0.007       0.138       0.102       4.903       0.016       0.455       9.461        0.08      20045.    0.2536
        9.51      0.4783      0.3895      0.1496      0.1836       0.007       0.141       0.103       5.001       0.016       0.458       9.342        0.08      20175.    0.2513
       11.10      0.5580      0.4468      0.1509      0.1885       0.007       0.145       0.104       5.133       0.016       0.462       9.184        0.08      20325.    0.2482
       12.68      0.6377      0.4997      0.1525      0.1946       0.007       0.149       0.105       5.299       0.017       0.467       8.987        0.08      20493.    0.2441
       14.27      0.7174      0.5476      0.1541      0.2019       0.007       0.155       0.106       5.499       0.018       0.472       8.755        0.09      20680.    0.2391
       15.85      0.7971      0.5901      0.1558      0.2104       0.008       0.161       0.107       5.729       0.018       0.477       8.492        0.09      20885.    0.2331
       17.44      0.8768      0.6272      0.1572      0.2198       0.008       0.169       0.108       5.985       0.019       0.482       8.205        0.09      21109.    0.2263
       19.02      0.9566      0.6590      0.1583      0.2298       0.008       0.176       0.109       6.257       0.020       0.485       7.902        0.09      21351.    0.2187
       20.61      1.0363      0.6857      0.1587      0.2399       0.009       0.184       0.109       6.532       0.021       0.486       7.590        0.09      21610.    0.2103
       22.19      1.1160      0.7080      0.1581      0.2492       0.009       0.191       0.109       6.786       0.022       0.484       7.277        0.09      21887.    0.2013
       23.78      1.1957      0.7270      0.1559      0.2564       0.009       0.197       0.107       6.983       0.022       0.478       6.974        0.09      22180.    0.1916
       25.36      1.2754      0.7438      0.1517      0.2602       0.010       0.200       0.104       7.085       0.023       0.465       6.689        0.09      22491.    0.1812
       26.95      1.3551      0.7592      0.1454      0.2596       0.009       0.199       0.100       7.068       0.022       0.445       6.426        0.09      22818.    0.1704
       28.53      1.4348      0.7732      0.1372      0.2547       0.009       0.195       0.095       6.935       0.022       0.420       6.181        0.09      23160.    0.1593
       30.12      1.5145      0.7854      0.1276      0.2461       0.009       0.189       0.088       6.702       0.021       0.391       5.948        0.09      23516.    0.1478
       31.70      1.5943      0.7950      0.1169      0.2345       0.009       0.180       0.081       6.386       0.020       0.358       5.720        0.09      23886.    0.1361
       33.29      1.6740      0.8009      0.1054      0.2204       0.008       0.169       0.073       6.001       0.019       0.323       5.488        0.09      24267.    0.1240
       34.87      1.7537      0.8020      0.0933      0.2040       0.007       0.157       0.064       5.556       0.018       0.286       5.246        0.10      24660.    0.1115
       36.46      1.8334      0.7964      0.0807      0.1858       0.007       0.143       0.056       5.059       0.016       0.247       4.983        0.10      25064.    0.0985
       38.04      1.9131      0.7814      0.0677      0.1658       0.006       0.127       0.047       4.514       0.014       0.207       4.685        0.10      25478.    0.0848
       39.63      1.9928      0.7521      0.0544      0.1442       0.005       0.111       0.037       3.927       0.013       0.167       4.329        0.10      25901.    0.0703
       41.22      2.0725      0.6999      0.0410      0.1213       0.004       0.093       0.028       3.303       0.011       0.125       3.874        0.10      26334.    0.0545
       42.80      2.1523      0.6066      0.0274      0.0972       0.004       0.075       0.019       2.646       0.008       0.084       3.233        0.10      26776.    0.0372
       44.39      2.2320      0.4276      0.0138      0.0720       0.003       0.055       0.010       1.962       0.006       0.042       2.197        0.10      27226.    0.0180
       45.97      2.3117      0.0152      0.0003      0.0461       0.002       0.035       0.000       1.256       0.004       0.001       0.075        0.10      27684.    0.0001



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
